    T                            dE              I                   X
 0.20                       0.00000        1.00000        0.0000000000
 0.30                       0.00000        1.00000        0.0000000000
 0.40                       0.00000        1.00000        0.0000000000
 0.50                       0.06397        1.00000        0.0319840014
 0.60                       0.58344        1.00000        0.3500640020
 0.70                       2.48832        0.99998        1.7418240011
 0.80                       9.65550        0.99991        7.7243999951
 0.90                      25.10656        0.99971       22.5958999991
 1.00                      56.50362        0.99927       56.5036159977
 1.10                     115.63914        0.99842      127.2030560039
 1.20                     210.54786        0.99700      252.6574360020
 1.30                     349.51630        0.99476      454.3711839952
 1.40                     511.77024        0.99145      716.4783359990
 1.50                     758.27727        0.98640     1137.4159000032
 1.60                    1103.05039        0.97967     1764.8806239963
 1.70                    1437.91035        0.96962     2444.4475999996
 1.80                    2001.39725        0.95641     3602.5150560029
 1.90                    2811.80369        0.93729     5342.4270040020
 2.00                    3804.21456        0.90892     7608.4291159995
 2.10                    4988.18267        0.86707    10475.1835999973
 2.20                    8072.23959        0.77462    17758.9270999972
 2.30                   10573.88819        0.47720    24319.9428440016
 2.40                    6452.32829        0.20228    15485.5879000016
 2.50                    5392.14935        0.13169    13480.3733760016
 2.60                    4835.95309        0.09018    12573.4780439995
 2.70                    4132.90764        0.07830    11158.8506240007
 2.80                    3538.26032        0.07066     9907.1288959999
 2.90                    3045.44589        0.06044     8831.7930840002
 3.00                    3006.76596        0.05286     9020.2978840000
 3.10                    2782.66616        0.05032     8626.2650840003
 3.20                    2651.79494        0.04675     8485.7438040003
 3.30                    2500.42753        0.04592     8251.4108440005
 3.40                    2260.16164        0.04238     7684.5495640002
 3.50                    2120.67311        0.03944     7422.3559000003
 3.60                    1995.40919        0.03830     7183.4730839995
 3.70                    1965.82640        0.03886     7273.5576959997
 3.80                    1856.30513        0.03530     7053.9594839993
 3.90                    1797.30655        0.03432     7009.4955360002
 4.00                    1683.64276        0.03314     6734.5710360003
