    T                            dE              I                   X
 0.20                       0.00000        1.00000        0.0000000000
 0.30                       0.00000        1.00000        0.0000000000
 0.40                       9.21216        0.23480        3.6848639958
 0.50                      28.11005        0.12190       14.0550240055
 0.60                       0.53067        1.00000        0.3183999993
 0.70                       2.40677        0.99998        1.6847359948
 0.80                      93.89950        0.36394       75.1196000017
 0.90                      26.69438        0.99971       24.0249440037
 1.00                   13757.51590        0.57759    13757.5158999972
 1.10                     110.74372        0.99845      121.8180960044
 1.20                     209.32485        0.99695      251.1898240037
 1.30                     326.68915        0.99471      424.6958999969
 1.40                    1464.48363        0.98609     2050.2770840041
 1.50                     757.05060        0.98640     1135.5759000033
 1.60                   14908.17050        0.72333    23853.0727959946
 1.70                    1416.22541        0.96990     2407.5831960030
 1.80                    1994.77829        0.95632     3590.6009240039
 1.90                    2701.43789        0.93767     5132.7319959961
 2.00                    3659.98355        0.91022     7319.9671040028
 2.10                    5285.49812        0.86616    11099.5460439995
 2.20                    7620.19897        0.78616    16764.4377239998
 2.30                   12681.84893        0.52909    29168.2525440007
 2.40                    7187.30765        0.19620    17249.5383639988
 2.50                    4912.96915        0.11483    12282.4228759985
 2.60                    4945.54154        0.09047    12858.4079999989
 2.70                    3788.01407        0.07753    10227.6380000012
 2.80                    3641.07120        0.06606    10194.9993560007
 2.90                    3186.09306        0.05995     9239.6698840009
 3.00                    2799.12183        0.05171     8397.3655039999
 3.10                    2876.11953        0.05162     8915.9705440002
 3.20                    2848.42325        0.04627     9114.9543959997
 3.30                    2530.35916        0.04375     8350.1852440005
 3.40                    2158.95303        0.04142     7340.4403040004
 3.50                    2259.59174        0.03726     7908.5711000003
 3.60                    2079.98873        0.03666     7487.9594240002
 3.70                    1941.59284        0.03619     7183.8935000002
 3.80                    1938.70417        0.03547     7367.0758360005
 3.90                    1790.84562        0.03438     6984.2979160000
 4.00                    1661.53099        0.03201     6646.1239640003
